Slice,Genotype,Treatment,Count,Total Area,Average Size,%Area,Mean,Min_size
1-WT.tif,wt,cntrl,188,3401,18.09,0.391,31.339,0
1-WT.tif,wt,cntrl,113,3279,29.018,0.377,36.076,4
1-WT.tif,wt,cntrl,77,3072,39.896,0.353,39.731,9
1-WT.tif,wt,cntrl,52,2788,53.615,0.321,43.79,16
1-WT.tif,wt,cntrl,37,2496,67.459,0.287,48.303,25
1-WT.tif,wt,cntrl,27,2179,80.704,0.251,51.909,36
1-WT.tif,wt,cntrl,15,1679,111.933,0.193,54.314,49
1-WT.tif,wt,cntrl,12,1503,125.25,0.173,54.358,64
1-WT.tif,wt,cntrl,10,1368,136.8,0.157,55.126,81
1-WT.tif,wt,cntrl,5,936,187.2,0.108,54.335,100
UNGA UNT H.png,unga,cntrl,173,1264,7.306,1.278,15.517,0
UNGA UNT H.png,unga,cntrl,81,1119,13.815,1.131,18.885,4
UNGA UNT H.png,unga,cntrl,33,844,25.576,0.853,21.993,9
UNGA UNT H.png,unga,cntrl,10,592,59.2,0.598,21.241,16
UNGA UNT H.png,unga,cntrl,4,477,119.25,0.482,21.384,25
UNGA UNT H.png,unga,cntrl,3,452,150.667,0.457,22.471,36
UNGA UNT H.png,unga,cntrl,3,452,150.667,0.457,22.471,49
UNGA UNT H.png,unga,cntrl,2,401,200.5,0.405,23.903,64
UNGA UNT H.png,unga,cntrl,2,401,200.5,0.405,23.903,81
UNGA UNT H.png,unga,cntrl,2,401,200.5,0.405,23.903,100
20240508-untr-unga-DEB-0.tif,unga,cntrl,180,4185,23.25,0.512,37.84,0
20240508-untr-unga-DEB-0.tif,unga,cntrl,116,4087,35.233,0.5,42.079,4
20240508-untr-unga-DEB-0.tif,unga,cntrl,88,3926,44.614,0.48,44.796,9
20240508-untr-unga-DEB-0.tif,unga,cntrl,68,3686,54.206,0.451,47.393,16
20240508-untr-unga-DEB-0.tif,unga,cntrl,53,3386,63.887,0.414,50.365,25
20240508-untr-unga-DEB-0.tif,unga,cntrl,42,3061,72.881,0.374,52.214,36
20240508-untr-unga-DEB-0.tif,unga,cntrl,30,2549,84.967,0.312,53.829,49
20240508-untr-unga-DEB-0.tif,unga,cntrl,22,2098,95.364,0.257,56.522,64
20240508-untr-unga-DEB-0.tif,unga,cntrl,16,1682,105.125,0.206,57.448,81
20240508-untr-unga-DEB-0.tif,unga,cntrl,9,1067,118.556,0.131,59.366,100
untreated unga 2.tiff,unga,cntrl,274,7616,27.796,0.888,47.187,0
untreated unga 2.tiff,unga,cntrl,179,7464,41.698,0.871,52.276,4
untreated unga 2.tiff,unga,cntrl,137,7229,52.766,0.843,55.031,9
untreated unga 2.tiff,unga,cntrl,102,6825,66.912,0.796,57.063,16
untreated unga 2.tiff,unga,cntrl,79,6366,80.582,0.742,59.845,25
untreated unga 2.tiff,unga,cntrl,64,5917,92.453,0.69,61.15,36
untreated unga 2.tiff,unga,cntrl,55,5537,100.673,0.646,62.182,49
untreated unga 2.tiff,unga,cntrl,41,4754,115.951,0.554,64.679,64
untreated unga 2.tiff,unga,cntrl,27,3760,139.259,0.439,68.817,81
untreated unga 2.tiff,unga,cntrl,19,3041,160.053,0.355,68.946,100
untreated unga 6.tiff,unga,cntrl,146,2604,17.836,0.37,35.705,0
untreated unga 6.tiff,unga,cntrl,100,2527,25.27,0.359,38.959,4
untreated unga 6.tiff,unga,cntrl,62,2311,37.274,0.328,42.371,9
untreated unga 6.tiff,unga,cntrl,45,2093,46.511,0.297,43.919,16
untreated unga 6.tiff,unga,cntrl,32,1845,57.656,0.262,47.036,25
untreated unga 6.tiff,unga,cntrl,28,1731,61.821,0.246,47.885,36
untreated unga 6.tiff,unga,cntrl,18,1307,72.611,0.186,50.693,49
untreated unga 6.tiff,unga,cntrl,11,904,82.182,0.128,51.661,64
untreated unga 6.tiff,unga,cntrl,5,478,95.6,0.068,52.525,81
untreated unga 6.tiff,unga,cntrl,1,131,131,0.019,58.718,100
untreated unga 5.tiff,unga,cntrl,188,6462,34.372,0.652,32.862,0
untreated unga 5.tiff,unga,cntrl,131,6380,48.702,0.644,36.485,4
untreated unga 5.tiff,unga,cntrl,93,6168,66.323,0.622,40.165,9
untreated unga 5.tiff,unga,cntrl,70,5880,84,0.593,42.356,16
